location,lat,long,Continent
Tanzania,-5.8681826,34.7991861,Africa
Thailand,15.474592,101.022946,Asia
Timor-Leste,-8.8017233,125.866411,Asia
Togo,8.84221135,1.07579818,Africa
Tokelau,-9.1676396,-171.81969,Oceania
Tonga,-21.179164,-175.20949,Oceania
Trinidad & Tobago,10.7466905,-61.084008,North America
Tunisia,33.7003428,9.03056463,Africa
Turkey,39.0394527,33.1014271,Asia/Europe
Turkmenistan,39.8882517,58.6952533,Asia
Turks & Caicos Islands,21.721746,-71.552781,North America
Tuvalu,-8.5207465,179.19908,Oceania
U.S. Outlying Islands,22.26382,113.96038,Oceania
U.S. Virgin Islands,17.789187,-64.708057,North America
Uganda,0.90677543,32.4449784,Africa
Ukraine,49.3218421,32.2936472,Europe
United Arab Emirates,23.5569065,54.5362184,Asia
United Kingdom,52.7021505,-1.5636252,Europe
United States,39.3803843,-97.465347,North America
Uruguay,-32.956747,-55.965051,South America
Uzbekistan,41.7304573,63.9969242,Asia
Vanuatu,-15.379015,166.928572,Oceania
Vatican City,41.903411,12.4528527,Europe
Venezuela,7.18715343,-64.569831,South America
Vietnam,21.7045632,105.448701,Asia
Wallis & Futuna,-13.289402,-176.20422,Oceania
Western Sahara,24.5893908,-13.421549,Africa
Yemen,15.3331831,45.8831781,Asia
Zambia,-14.755627,26.7331706,Africa
Zimbabwe,-18.921414,29.9435842,Africa
Dhaka,23.7702548,90.3584402,
Bagerhat,22.5913803,89.7644441,
Chittagong,22.2978515,91.9987133,
Barisal,22.9229227,90.1726866,
Bhola,22.4199164,90.7647866,
Brahmanbaria,23.9508104,91.1038879,
Comilla,23.4809388,91.0375452,
Dinajpur,25.6986968,88.6647208,
Faridpur,23.4998433,89.8762545,
Gaibandha,25.2956302,89.5245637,
Gazipur,24.1029221,90.4487753,
Gopalganj,23.1044041,89.8369444,
Habiganj,24.4080193,91.4299244,
Jhenaidah,23.5059801,89.1197221,
Khulna,22.7733307,89.4650078,
Kishoreganj,24.3847481,90.9508725,
Kurigram,25.7542121,89.6712862,
Manikganj,23.8401924,89.9477425,
Moulvibazar,24.4880817,91.7630179,
Narayanganj,23.74218,90.5895759,
Narsingdi,23.9921391,90.7889178,
Natore,24.3588678,89.0929361,
Netrokona,24.9638449,90.7719443,
Nilphamari,26.0209951,88.9335199,
Noakhali,22.8009971,91.1267919,
Pabna,24.0819745,89.354902,
Rajshahi,24.4627663,88.6455934,
Rangamati,22.7561535,92.2514584,
Rangpur,25.666741,89.243656,
Satkhira,22.5917995,89.098007,
Shariatpur,23.25934,90.4351229,
Sirajganj,24.3755256,89.5764725,
Sunamganj,24.9304952,91.3818666,
Sylhet,24.9563529,91.988576,
Tangail,24.3571938,90.0036093,
Dhaka,23.7702548,90.3584402,
Bagerhat,22.5913803,89.7644441,
Bandarban,21.7891843,92.4097111,
Barguna,22.1262274,90.2728084,
Brahmanbaria,23.9508104,91.1038879,
Chandpur,23.2674045,90.7599768,
Chattogram,22.333778,91.8344348,
Comilla,23.4809388,91.0375452,
Dinajpur,25.6986968,88.6647208,
Gaibandha,25.2956302,89.5245637,
Gazipur,24.1029221,90.4487753,
Noakhali,22.2877297,91.1265769,
Jamalpur,24.9281506,89.7953394,
Jhalokati,22.5601841,90.1347127,
Khagrachhari,23.2148892,91.9722714,
Khulna,22.7733307,89.4650078,
Kishoreganj,24.3847481,90.9508725,
Kurigram,25.7542121,89.6712862,
Kushtia,23.9075417,88.9944523,
Manikganj,23.8401924,89.9477425,
Meherpur,23.7773468,88.6914669,
Mymensingh,24.6541656,90.3975974,
Narayanganj,23.74218,90.5895759,
Pabna,24.0819745,89.354902,
Rajshahi,24.4627663,88.6455934,
Rangamati,22.7561535,92.2514584,
Satkhira,22.5917995,89.098007,
Savar,23.8477,90.2587,
Shariatpur,23.25934,90.4351229,
Sherpur,25.0751448,90.078326,
Sirajganj,24.3755256,89.5764725,
Sylhet,24.9563529,91.988576,
Tangail,24.3571938,90.0036093,
Dhaka,23.7702548,90.3584402,
Sylhet,24.6541656,90.3975974,
Chattogram,24.9563529,91.988576,
Khulna,22.2978515,91.9987133,
Rajshahi,22.7733307,89.4650078,
Mymensingh,24.4627663,88.6455934,
Barishal,22.9229227,90.1726866,
Faridpur,25.666741,89.243656,
Munshiganj,24.3571938,90.0036093,
Narayanganj,24.1029221,90.4487753,
Gazipur,23.2059989,90.1472957,
Pabna,23.547309,90.3203023,
Moulvibazar,22.9687507,91.4137685,
Noakhali,22.5913803,89.7644441,
Chandpur,22.4199164,90.7647866,
Brahmanbaria,23.2674045,90.7599768,
Cumilla,24.0819745,89.354902,
Feni,23.9921391,90.7889178,
Sirajganj,23.9075417,88.9944523,
Kurigram,22.8009971,91.1267919,
Thakurgaon,25.6986968,88.6647208,
Jhenaidah,26.0408467,89.17752,
Magura,24.3588678,89.0929361,
Meherpur,24.9638449,90.7719443,
Kushtia,24.9281506,89.7953394,
Gopalganj,26.0047811,88.3421442,
Bagerhat,25.7542121,89.6712862,
Natore,24.3755256,89.5764725,
Netrokona,23.1044041,89.8369444,
Jamalpur,23.7773468,88.6914669,
Bandarban,25.116577,89.0947435,
Bogura,23.5059801,89.1197221,
Dinajpur,24.5998567,88.2850447,
Lalmonirhat,23.4149807,89.4028783,
Chapai Nawabganj,26.2774966,88.5759585,
Dhaka,23.7702548,90.3584402,
Khulna,22.7733307,89.4650078,
Chattogram,22.333778,91.8344348,
Barishal,22.4934035,90.3548015,
Sylhet,24.9563529,91.988576,
Mymensingh,24.6541656,90.3975974,
Rangpur,25.666741,89.243656,
Rajshahi,24.4627663,88.6455934,
Jashore,23.1665256,89.2094419,
Comilla,23.4809388,91.0375452,
Noakhali,22.8009971,91.1267919,
Sunamganj,24.9304952,91.3818666,
Gazipur,24.1029221,90.4487753,
Narayanganj,23.74218,90.5895759,
Bagerhat,22.5913803,89.7644441,
Faridpur,23.4998433,89.8762545,
Madaripur,23.2059989,90.1472957,
Patuakhali,22.3266858,90.5193495,
Dinajpur,25.6986968,88.6647208,
Kurigram,25.7542121,89.6712862,
Sirajganj,24.3755256,89.5764725,
Pabna,24.0819745,89.354902,
Kushtia,23.9075417,88.9944523,
Tangail,24.3571938,90.0036093,
Feni,22.9687507,91.4137685,
Nilphamari,26.0209951,88.9335199,
Narail,23.1416161,89.5577717,
Brahmanbaria,23.9508104,91.1038879,
Jhenaidah,23.5059801,89.1197221,
Habiganj,24.4080193,91.4299244,
Netrokona,24.9638449,90.7719443,
Bandarban,21.7891843,92.4097111,
Gaibandha,25.2956302,89.5245637,
Magura,23.3012737,89.3760285,
Rajbari,23.7072394,89.5664731,
Bagerhat,22.5913803,89.7644441,
Bandarban,21.7891843,92.4097111,
Barisal,22.9229227,90.1726866,
Bhola,22.4199164,90.7647866,
Chandpur,23.2674045,90.7599768,
