Year,Word,Frequency,Raw Frequency
2017,australian,43,17
2017,lyon,43,17
2017,inning,43,17
2017,reason,40,16
2017,based,40,16
2017,alleged,40,16
2017,supreme,40,16
2017,matter,40,16
2017,bank,40,16
2017,able,40,16
2017,reach,40,16
2017,mean,40,16
2017,try,40,16
2017,turn,40,16
2017,damage,40,16
2017,caused,40,16
2017,genocide,40,16
2017,citizen,40,16
2017,despite,40,16
2017,widespread,40,16
2017,adding,40,16
2017,thing,40,16
2017,poor,40,16
2017,commissioner,40,16
2017,having,40,16
2017,smith,40,16
2017,helped,40,16
2017,current,40,16
2017,le,40,16
2017,hard,40,16
2017,abdul,40,16
2017,dan,40,16
2017,kitwoodgetty,40,16
2017,southern,40,16
2017,space,40,16
2017,nepal,40,16
2017,remain,40,16
2017,foot,40,16
2017,american,40,16
2017,religion,40,16
2017,haque,38,15
2017,following,38,15
2017,deputy,38,15
2017,clear,38,15
2017,leave,38,15
2017,similar,38,15
2017,account,38,15
2017,health,38,15
2017,offer,38,15
2017,secretary,38,15
2017,post,38,15
2017,movement,38,15
2017,december,38,15
2017,june,38,15
2017,western,38,15
2017,comment,38,15
2017,thought,38,15
2017,explosive,38,15
2017,regular,38,15
2017,complaint,38,15
2017,immigrant,38,15
2017,troop,38,15
2017,latest,38,15
2017,collapse,38,15
2017,address,38,15
2017,expected,38,15
2017,figure,38,15
2017,remains,38,15
2017,eye,38,15
2017,question,38,15
2017,future,38,15
2017,rashid,38,15
2017,raid,38,15
2017,ullahs,38,15
2017,term,38,15
2017,conservative,38,15
2017,shakib,38,15
2017,trophy,38,15
2017,estate,38,15
2017,rangamati,35,14
2017,mohammad,35,14
2017,nearly,35,14
2017,diplomatic,35,14
2017,speak,35,14
2017,largely,35,14
2017,ruling,35,14
2017,citizenship,35,14
2017,influx,35,14
2017,s,35,14
2017,allegation,35,14
2017,clean,35,14
2017,peace,35,14
2017,request,35,14
2017,attacker,35,14
2017,christian,35,14
2017,karim,35,14
2017,car,35,14
2017,opening,35,14
2017,staff,35,14
2017,ahead,35,14
2017,respect,35,14
2017,migrant,35,14
2017,terrorism,35,14
2017,removed,35,14
2017,worst,35,14
2017,didnt,35,14
2017,batsman,35,14
2017,nearby,35,14
2017,crowd,35,14
2017,site,35,14
2017,hasan,35,14
2017,siege,35,14
2017,bombing,35,14
2017,rapid,35,14
2017,independence,35,14
2017,disappeared,35,14
2017,nasser,35,14
2017,warner,35,14
2017,bowler,35,14
2017,zealand,35,14
2017,southeast,33,13
2017,mud,33,13
2017,mohammed,33,13
2017,control,33,13
2017,afternoon,33,13
2017,list,33,13
2017,special,33,13
2017,society,33,13
2017,person,33,13
