Year,Word,Frequency
2018,world,63
2018,water,63
2018,power,62
2018,bnp,61
2018,children,61
2018,countrys,58
2018,sunday,58
2018,group,58
2018,just,57
2018,health,57
2018,workers,55
2018,media,54
2018,alam,53
2018,protesters,52
2018,home,52
2018,women,51
2018,work,51
2018,coxs,51
2018,fled,51
2018,local,50
2018,days,50
2018,security,49
2018,facebook,48
2018,groups,48
2018,zia,48
2018,state,48
2018,repatriation,48
2018,hasinas,47
2018,road,46
2018,officials,45
2018,activists,45
2018,protect,45
2018,bazar,45
2018,factories,45
2018,crackdown,44
2018,border,44
2018,dr,44
2018,law,43
2018,used,42
2018,want,42
2018,ruling,41
2018,vote,41
2018,political,41
2018,hundreds,41
2018,conditions,41
2018,hossain,41
2018,accused,40
2018,supporters,40
2018,august,40
2018,past,40
2018,led,39
2018,authorities,39
2018,elections,39
2018,dont,39
2018,campaign,39
2018,leader,39
2018,polling,39
2018,external,39
2018,social,38
2018,national,38
2018,general,38
2018,corruption,38
2018,court,37
2018,learning,37
2018,capital,36
2018,military,36
2023,people,213
2023,england,212
2023,ball,175
2023,world,165
2023,just,122
2023,dhaka,100
2023,years,98
2023,cup,97
2023,game,97
2023,single,92
2023,workers,85
2023,country,81
2023,international,81
2023,balls,80
2023,buttler,80
2023,englands,79
2023,government,78
2023,past,77
2023,dengue,77
2023,cyclone,77
2023,series,76
2023,shakib,74
2023,roy,74
2023,good,73
2023,bangladeshs,71
2023,cricket,71
2023,police,70
2023,home,70
2023,cases,69
2023,das,69
2023,odi,69
2023,malan,69
2023,play,68
2023,india,66
2023,curran,66
2023,overs,65
2023,players,64
2023,rohingya,63
2023,need,63
2023,outside,62
2023,newsletter,62
2023,away,61
2023,hit,59
2023,myanmar,58
2023,storm,58
2023,bnp,58
2023,camp,57
2023,second,56
2023,start,56
2023,innings,56
2023,rights,55
2023,opposition,55
2023,hasina,55
2023,team,55
2023,hasan,55
2023,long,54
2023,really,53
2023,ahmed,53
2023,moeen,53
2023,garment,52
2023,conditions,52
2023,bat,52
2023,work,51
2023,going,51
2023,rashid,50
2023,played,50
2023,health,48
2023,south,48
2023,early,48
2023,left,48
2023,political,48
2023,runs,48
2023,got,47
2023,run,47
2023,wicket,47
2023,mehidy,47
2023,think,46
2023,wickets,46
2023,kohli,46
2023,camps,45
2023,party,45
2023,short,45
2023,set,44
2023,factories,44
2023,far,44
2023,million,42
2023,brands,42
2023,cover,42
