Year,Word,Frequency,Raw Frequency
2021,rohingya,168,42
2021,health,168,42
2021,capital,164,41
2021,passengers,160,40
2021,attack,160,40
2021,family,160,40
2021,hundreds,160,40
2021,river,160,40
2021,district,156,39
2021,local,156,39
2021,friday,152,38
2021,work,152,38
2021,refugees,152,38
2021,women,152,38
2021,children,152,38
2021,global,152,38
2021,home,148,37
2021,industry,144,36
2021,hospital,140,35
2021,minister,140,35
2021,climate,140,35
2021,director,136,34
2021,news,136,34
2021,building,136,34
2021,south,136,34
2021,pakistan,136,34
2021,islam,132,33
2021,change,132,33
2021,city,132,33
2021,outside,128,32
2021,working,128,32
2021,recent,128,32
2021,second,128,32
2021,good,124,31
2021,help,124,31
2021,religious,124,31
2021,accord,124,31
2021,took,120,30
2021,attacks,120,30
2021,reported,116,29
2021,agreement,116,29
2021,village,116,29
2021,thousands,116,29
2021,going,116,29
2021,hossain,112,28
2021,number,112,28
2021,authorities,112,28
2021,muslim,112,28
2021,official,112,28
2021,left,112,28
2021,covid,112,28
2021,t,112,28
2021,west,112,28
2021,spread,108,27
2021,high,108,27
2021,pandemic,108,27
2021,groups,108,27
2021,food,108,27
2021,dont,108,27
2021,cases,108,27
2021,human,108,27
2021,court,108,27
2021,lost,108,27
2021,refugee,104,26
2021,later,104,26
2021,march,104,26
2021,injured,100,25
2021,missing,100,25
2021,days,100,25
2021,months,100,25
2021,near,100,25
2021,long,100,25
2021,conditions,100,25
2021,place,100,25
2021,strike,100,25
2021,shakib,100,25
2021,modi,100,25
2021,dead,96,24
2021,myanmar,96,24
2021,coast,96,24
2021,far,96,24
2021,want,96,24
2021,living,96,24
2021,live,96,24
2021,hit,96,24
2021,led,96,24
2021,woakes,96,24
2021,coronavirus,96,24
2021,visit,96,24
2021,lockdown,96,24
2021,deaths,92,23
2021,hours,92,23
2021,asia,92,23
2021,seen,92,23
2021,set,92,23
2021,start,92,23
2021,played,92,23
2021,inside,92,23
2021,independence,92,23
2021,need,88,22
2021,law,88,22
2021,homes,88,22
2021,malan,88,22
2021,temple,88,22
2021,trying,88,22
2021,land,88,22
2021,thursday,84,21
2021,nearly,84,21
2021,families,84,21
2021,aid,84,21
2021,began,84,21
2021,little,84,21
2021,run,84,21
2021,prime,84,21
2021,population,84,21
2021,ago,84,21
2021,islamist,84,21
2021,runs,84,21
2021,cyclone,84,21
2021,worlds,84,21
2021,retailers,84,21
2021,unions,84,21
2021,standards,80,20
2021,used,80,20
2021,girls,80,20
2021,vessel,80,20
2021,security,80,20
2021,state,80,20
2021,added,80,20
2021,monday,80,20
2021,media,80,20
2021,wednesday,80,20
2021,april,80,20
2021,team,80,20
2021,match,80,20
2021,virus,80,20
2021,community,80,20
2021,shrimp,80,20
2021,social,80,20
2021,development,80,20
2021,sea,76,19
2021,mother,76,19
2021,brother,76,19
2021,bengal,76,19
2021,times,76,19
2021,thats,76,19
2021,taken,76,19
2021,leaders,76,19
2021,lightning,76,19
2021,house,76,19
2021,minorities,76,19
2021,indies,76,19
2021,game,76,19
2021,bowling,76,19
2021,using,76,19
2021,able,76,19
2021,gets,76,19
2021,uk,76,19
2021,school,76,19
2021,hindus,76,19
2021,started,72,18
2021,control,72,18
2021,rahman,72,18
2021,small,72,18
2021,life,72,18
2021,daughter,72,18
2021,february,72,18
2021,lives,72,18
2021,past,72,18
2021,early,72,18
2021,members,72,18
2021,return,72,18
2021,support,72,18
2021,came,72,18
2021,carrying,72,18
2021,accused,72,18
2021,series,72,18
2021,public,72,18
2021,cup,72,18
2021,ahmed,72,18
2021,mahmudullah,72,18
2021,follows,72,18
2021,wave,72,18
2021,hasina,72,18
2021,political,72,18
2021,seven,68,17
2021,goes,68,17
2021,travel,68,17
2021,taking,68,17
2021,man,68,17
2021,care,68,17
2021,weeks,68,17
2021,protesters,68,17
2021,men,68,17
2021,today,68,17
2021,really,68,17
2021,town,68,17
2021,rise,68,17
2021,transgender,68,17
2021,case,68,17
2021,overs,68,17
2021,spin,68,17
2021,englands,68,17
2021,short,68,17
2021,child,68,17
2021,british,68,17
2021,saturday,68,17
2021,infections,68,17
2021,im,68,17
2021,fashion,68,17
2021,blaze,64,16
2021,ground,64,16
2021,bodies,64,16
2021,large,64,16
2021,coxs,64,16
2021,bazar,64,16
2021,ship,64,16
2021,sent,64,16
2021,given,64,16
2021,think,64,16
2021,comes,64,16
2021,situation,64,16
2021,restrictions,64,16
2021,deal,64,16
2021,attacked,64,16
2021,hospitals,64,16
2021,largest,64,16
2021,hasan,64,16
2021,wickets,64,16
2021,wicket,64,16
2021,look,64,16
2021,opening,64,16
2021,moeen,64,16
2021,leg,64,16
2021,needed,64,16
2021,mills,64,16
2021,end,64,16
2021,dot,64,16
2021,bangladeshis,64,16
2021,owners,64,16
2021,poverty,64,16
2021,farmers,64,16
2021,difficult,60,15
2021,camp,60,15
2021,better,60,15
2021,does,60,15
2021,went,60,15
2021,critical,60,15
2021,action,60,15
2021,senior,60,15
2021,rescue,60,15
2021,party,60,15
2021,organization,60,15
2021,killing,60,15
2021,crisis,60,15
2021,australia,60,15
2021,making,60,15
2021,slower,60,15
2021,area,60,15
2021,das,60,15
2021,livingstone,60,15
2021,history,60,15
2021,followed,60,15
2021,buttler,60,15
2021,open,60,15
2021,continued,60,15
2021,protect,60,15
2021,modis,60,15
2021,sheikh,60,15
2021,father,60,15
2021,storm,60,15
2021,capsized,60,15
2021,half,60,15
2021,major,60,15
2021,communal,60,15
2021,shishir,60,15
2021,signed,56,14
2021,incident,56,14
2021,accidents,56,14
2021,yearold,56,14
2021,pay,56,14
2021,know,56,14
2021,border,56,14
2021,th,56,14
2021,ruling,56,14
2021,tuesday,56,14
2021,united,56,14
2021,nations,56,14
2021,reached,56,14
2021,disaster,56,14
2021,areas,56,14
2021,win,56,14
2021,leftarm,56,14
2021,sri,56,14
2021,cut,56,14
2021,balls,56,14
2021,hard,56,14
2021,protests,56,14
2021,poor,56,14
2021,western,56,14
2021,flooding,56,14
2021,temples,56,14
2021,council,56,14
2021,orders,56,14
2021,east,52,13
2021,service,52,13
2021,jumped,52,13
2021,recovered,52,13
2021,remains,52,13
2021,military,52,13
2021,guard,52,13
2021,leave,52,13
2021,comment,52,13
2021,war,52,13
2021,vulnerable,52,13
2021,forced,52,13
2021,red,52,13
2021,coming,52,13
2021,governments,52,13
2021,experts,52,13
2021,secular,52,13
2021,fires,52,13
2021,got,52,13
2021,cricket,52,13
2021,innings,52,13
2021,fine,52,13
2021,tried,52,13
2021,mark,52,13
2021,getting,52,13
2021,huge,52,13
2021,great,52,13
2021,islamic,52,13
2021,forces,52,13
2021,economic,52,13
2021,expected,52,13
2021,american,52,13
2021,civil,48,12
2021,defense,48,12
2021,leading,48,12
2021,risk,48,12
2021,allowed,48,12
2021,bay,48,12
2021,right,48,12
2021,indias,48,12
2021,woman,48,12
2021,villages,48,12
2021,asian,48,12
2021,old,48,12
2021,terms,48,12
2021,committee,48,12
2021,responsible,48,12
2021,states,48,12
2021,play,48,12
2021,latest,48,12
2021,late,48,12
2021,economy,48,12
2021,despite,48,12
2021,batting,48,12
2021,head,48,12
2021,built,48,12
2021,increase,48,12
2021,university,48,12
2021,medical,48,12
2021,festival,48,12
2021,labor,48,12
2021,sign,48,12
2021,hm,48,12
2021,business,48,12
2021,companies,48,12
